codas, orig: codas
codat, orig: codât
codee, orig: codée
coder, orig: coder
codes, orig: codes
codes, orig: codés
codex, orig: codex
codez, orig: codez
codon, orig: codon
coeur, orig: coeur
cogna, orig: cogna
cogne, orig: cogne
cogne, orig: cogné
cohue, orig: cohue
coing, orig: coing
coins, orig: coins
coita, orig: coïta
coite, orig: coite
coite, orig: coïte
coite, orig: coïté
coits, orig: coïts
colin, orig: colin
colis, orig: colis
colla, orig: colla
colle, orig: colle
colle, orig: collé
colon, orig: colon
colon, orig: côlon
colts, orig: colts
colza, orig: colza
comas, orig: comas
combe, orig: combe
comma, orig: comma
comme, orig: comme
comte, orig: comte
comte, orig: comté
concu, orig: conçu
conde, orig: condé
cones, orig: cônes
conga, orig: conga
conge, orig: congé
conie, orig: cônie
conir, orig: cônir
conis, orig: cônis
conit, orig: cônit
conit, orig: cônît
connu, orig: connu
conta, orig: conta
conte, orig: conte
conte, orig: conté
copal, orig: copal
copia, orig: copia
copie, orig: copie
copie, orig: copié
copra, orig: copra
copte, orig: copte
coqua, orig: coqua
coque, orig: coque
coque, orig: coqué
coran, orig: coran
corda, orig: corda
corde, orig: corde
corde, orig: cordé
corna, orig: corna
corne, orig: corne
corne, orig: corné
cornu, orig: cornu
coron, orig: coron
corps, orig: corps
corsa, orig: corsa
corse, orig: corse
corse, orig: corsé
cossa, orig: cossa
cosse, orig: cosse
cosse, orig: cossé
cossu, orig: cossu
cosys, orig: cosys
cotai, orig: cotai
cotas, orig: cotas
cotat, orig: cotât
cotee, orig: cotée
coter, orig: coter
cotes, orig: cotes
cotes, orig: cotés
cotes, orig: côtes
cotes, orig: côtés
cotez, orig: cotez
cotie, orig: cotie
cotir, orig: cotir
cotis, orig: cotis
cotit, orig: cotit
cotit, orig: cotît
coton, orig: coton
cotte, orig: cotte
couac, orig: couac
couda, orig: couda
coude, orig: coude
coude, orig: coudé
couds, orig: couds
couic, orig: couic
coula, orig: coula
coule, orig: coule
coule, orig: coulé
coupa, orig: coupa
coupe, orig: coupe
coupe, orig: coupé
coups, orig: coups
coure, orig: coure
cours, orig: cours
court, orig: court
couru, orig: couru
couse, orig: couse
cousu, orig: cousu
couta, orig: coûta
coute, orig: coûte
coute, orig: coûté
couts, orig: coûts
couva, orig: couva
couve, orig: couve
couve, orig: couvé
coxal, orig: coxal
coyau, orig: coyau
crabe, orig: crabe
crack, orig: crack
crado, orig: crado
craie, orig: craie
crama, orig: crama
crame, orig: crame
crame, orig: cramé
crana, orig: crana
crana, orig: crâna
crane, orig: crane
crane, orig: crané
crane, orig: crâne
crane, orig: crâné
crans, orig: crans
crase, orig: crase
crash, orig: crash
crave, orig: crave
crawl, orig: crawl
creai, orig: créai
creas, orig: créas
creat, orig: créât
credo, orig: credo
creee, orig: créée
creer, orig: créer
crees, orig: crées
crees, orig: créés
creez, orig: créez
crema, orig: créma
creme, orig: crémé
creme, orig: crème
crena, orig: créna
crene, orig: créné
crene, orig: crène
crepa, orig: crêpa
crepe, orig: crêpe
crepe, orig: crêpé
crepi, orig: crépi
crepu, orig: crépu
crete, orig: crête
creux, orig: creux
creva, orig: creva
creve, orig: crevé
creve, orig: crève
criai, orig: criai
crias, orig: crias
criat, orig: criât
crics, orig: crics
criee, orig: criée
crier, orig: crier
cries, orig: cries
cries, orig: criés
